Nome;CPF;RG;Sexo;Nascimento;Logradouro, Número;CEP;Bairro;Cidade;UF;Email;Fone
ELIANE SCHNEPPER PETILO;411.953.459-68;41900431 / PR;Fem;04/08/1963;RUA 19 DE DEZEMBRO,1219;86200-000;JARDIM SAO FRANCISC;Pilar do Sul;SP;ELIANE@gmail.com;21452167
ILZA APARECIDA DE MATOS;020.288.819-33;71449203 / PR;Fem;10/12/1978;RUA EMILIO CORNELSEN, 500;80000-000;AHU;Curitiba;PR;ILZA@outlook.com;81216289
EVELYN DE FÁTIMA MACHADO;087.300.449-36;127882789 / PR;Fem;23/05/1994;AV BRASIL,2655;85816-290;CENTRO;São João das Duas Pontes;SP;EVELYN@outlook.com;66280451
SHARON HELLEN TRACZ;079.439.189-32;105626657 / PR;Fem;16/01/1994;RUA: TAVARES DE LIRA, 3435;83065-180;AFONSO PENA;São José dos Pinhais;PR;SHARON@outlook.com;48234718
ELISANGELA APARECIDA DO NASCIMENTO;006.244.409-31;69822827 / PR;Fem;05/01/1979;R MARECHAL DEODORO,168/170;80010-010;CENTRO;Caxambu do Sul;SC;ELISANGELA@live.com;4417049
ADRIANE RODRIGUES;058.126.399-57;99088982 / PR;Fem;17/06/1982;RUA JURUTAU, 1470 TERREO;86700-000;Sem Informação;Rio Negro;PR;ADRIANE@hotmail.com;80531846
FLAVIA MENDES DE SOUZA;073.691.389-09;95866905 / PR;Fem;11/10/1990;MANOEL CORREA,1345;83206-030;CENTRO;Unaí;MG;FLAVIA@live.com;51170454
ROSILDA DE JESUS RIBEIRO ALVES;068.870.479-42;100173891 / PR;Fem;30/08/1986;AVENIDA PARANA;83860-000;TRIGOLANDIA;Natividade;RJ;ROSILDA@gmail.com;15090630
JULIANA CATARINA SANTANA;029.426.999-14;77584978 / PR;Fem;30/12/1979;RUA EINSTEIN,727;83408-040;VILA GUARANI;Icaraí de Minas;MG;JULIANA@hotmail.com;66961938
DARCIO RUNDVALT;072.934.549-10;104593720 / PR;Mas;23/02/1989;AV.CURITIBA 370;86800-005;BARRA FUNDA;Propriá;SE;DARCIO@live.com;36714852
JÉSSICA MATAUCH DZULINSKI;078.970.129-48;10.520.072-2 / PR;Fem;11/02/1993;R FREI FRANCISCO MONT ALVERNE, 750;81540-410;Sem Informação;Borborema;PB;JÉSSICA@hotmail.com;45968623
ANA PAULA DA SILVA MEIRA;058.348.129-96;2086910946 / RS;Fem;27/10/1986;AV. TIRADENTES, 1383;86000-000;Sem Informação;Conceição das Alagoas;MG;ANA@live.com;56641753
KELEN KOPPEN;062.260.409-04;96824289 / PR;Fem;01/09/1986;RUA PITANGUI, 34 OU RUA TAPAJOS, 294;86027-280;JD. CASTELO;Turvolândia;MG;KELEN@gmail.com;49735159
ROSILDA DE JESUS RIBEIRO ALVES;068.870.479-42;100173891 / PR;Fem;30/08/1986;AVENIDA PARANA;83860-000;TRIGOLANDIA;Natividade;RJ;ROSILDA@gmail.com;15090630
VERA DE JESUS DOS SANTOS;468.715.869-20;72521323 / PR;Fem;18/09/1962;RUA REBOUÇAS, 828;87030-410;Sem Informação;Capim Branco;MG;VERA@hotmail.com;48875686
JULIANA CATARINA SANTANA;029.426.999-14;77584978 / PR;Fem;30/12/1979;RUA EINSTEIN,727;83408-040;VILA GUARANI;Icaraí de Minas;MG;JULIANA@hotmail.com;66961938
LUIS THIAGO MUSSILINI;042.562.839-60;78498439 / PR;Mas;15/06/1984;TEOFILO FREITAS MARISTANY,78;83750-000;DOM PEDRO II;Munhoz;MG;LUIS@live.com;35089127
SILVANA DIAS DE MORAES;926.701.729-20;64777840 / PR;Fem;27/02/1974;RUA SEN ACCIOLY FILHO 1321;81310-000;CIC;Medina;MG;SILVANA@live.com;11923882
RENATA APARECIDA DE OLIVEIRA;079.401.479-86;110728450 / PR;Fem;14/02/1990;RUA CLOTARIO PORTUGAL, 927;86800-020;Sem Informação;Bom Jardim;RJ;RENATA@live.com;24310094
ISABEL CRISTINA PIOTROVSKI;083.873.959-86;97282030 / PR;Fem;26/04/1992;PRAÇA TIRADENTES, 346 1º ANDAR;80510-000;CENTRO;Urutaí;GO;ISABEL@gmail.com;93897836
FLAVIA LEOTERIO BATISTA;052.932.309-56;97637016 / PR;Fem;02/10/1984;AV. ARTHUR THOMAS,1037;86065-000;JARDIM BANDEIRANTES;Vale do Paraíso;RO;FLAVIA@hotmail.com;99678531
VANESSA TEIXEIRA ARRUDA;069.390.469-09;107708006 / PR;Fem;21/06/1991;JANDAIA DO SUL,1073;83324-440;VL EMILIANO PERNETA;Pastos Bons;MA;VANESSA@outlook.com;88117933
SIMONE DA LUZ PEREIRA;054.398.309-95;83277254 / PR;Fem;30/11/1983;RUA TUPI,366;86020-350;CENTRO;Senhor do Bonfim;BA;SIMONE@outlook.com;87010460
ANA LEONI KACHAK GONÇALVES;464.718.479-04;36722746 / PR;Fem;20/07/1962;AV. JULES RIMET, 1433/1459;85858-000;PQ RES MORUMBI I;Foz do Iguaçu;PR;ANA@outlook.com;94517897
FLAVIA MENDES DE SOUZA;073.691.389-09;95866905 / PR;Fem;11/10/1990;MANOEL CORREA,1345;83206-030;CENTRO;Unaí;MG;FLAVIA@live.com;51170454
JOYCE FERNANDA TULIO;068.445.319-31;100053900 / PR;Fem;05/04/1989;AV MAL FLORIANO PEIXOTO 7376;81650-000;BOQUEIRAO;Piedade de Caratinga;MG;JOYCE@outlook.com;25909678
BERNADETE KOLOSOWESKEY;480.420.489-04;40990895 / PR;Fem;25/01/1965;RUA XV DE NOVEMBRO, 7292;85010-100;CENTRO;Cujubim;RO;BERNADETE@gmail.com;83506628
CAMILA KOSLOSKI;088.138.549-27;101042855 / PR;Fem;07/06/1993;PÇA JOAQUIM MENELAU DE ALMEIDA TORRES,70 CURITIBA;81610-010;V HAUER;Lagoa Grande do Maranhão;MA;CAMILA@outlook.com;47265930
NAIARA MENDES DAMBRÓS;064.780.879-05;91323460 / PR;Fem;20/04/1987;ESTRADA CERRADO DA ROSEIRA,1;84200-000;CERRADO DA ROSEIRA;Gouveia;MG;NAIARA@live.com;13787056
JOYCE FERNANDA TULIO;068.445.319-31;100053900 / PR;Fem;05/04/1989;AV MAL FLORIANO PEIXOTO 7376;81650-000;BOQUEIRAO;Piedade de Caratinga;MG;JOYCE@outlook.com;25909678
DENISE APARECIDA CHAMBREK HAMILKO;696.547.009-72;48701310 / PR;Fem;05/12/1970;AV. MAUA, 2065;87050-020;Sem Informação;Maringá;PR;DENISE@hotmail.com;84648230
ANGELITA PATRICIA MOREIRA MERCER;026.301.859-82;80477082 / PR;Fem;14/11/1979;R ANDRE DE BARROS, 398;80010-080;CENTRO;Paulo Jacinto;AL;ANGELITA@outlook.com;56576907
AMANDA KOCINSKI;091.364.949-09;126448481 / PR;Fem;23/11/1993;ALAMEDA BOM PASTOR,380;83015-140;JARDIM OURO FINO;Riozinho;RS;AMANDA@gmail.com;90691130
ANA PAULA BUENO;029.846.979-01;80161778 / PR;Fem;01/09/1978;RUA TAPAJOS, 344;85501-060;CENTRO;Pato Branco;PR;ANA@outlook.com;68208468
VALDIR MESSIAS DA ROSA;666.428.849-49;61403450 / PR;Mas;04/06/1968;RUA FREI CANECA,112;84010-060;CENTRO;Palmeirópolis;TO;VALDIR@hotmail.com;23718548
ANGELITA PATRICIA MOREIRA MERCER;026.301.859-82;80477082 / PR;Fem;14/11/1979;R ANDRE DE BARROS, 398;80010-080;CENTRO;Paulo Jacinto;AL;ANGELITA@outlook.com;56576907
JOANA MOREIRA GONÇALVES;070.116.179-57;97689970 / PR;Fem;24/06/1991;RODOVIA ALEXANDRA MATINHOS;83260-000;SERTAOZINHO;Mercês;MG;JOANA@outlook.com;13100401
LUCIANE LARA DA LUZ;042.563.099-42;81394776 / PR;Fem;22/11/1983;ADAO IWANKIW,150;86800-970;PARQ INDL ZONA;Coruripe;AL;LUCIANE@outlook.com;91004003
JULIANE FERREIRA GOMES MARIANO;028.722.039-74;80869479 / PR;Fem;14/12/1979;R RUI BARBOSA, 2000;83601-140;CENTRO;Palmeira dos Índios;AL;JULIANE@hotmail.com;26132966
NAIARA MENDES DAMBRÓS;064.780.879-05;91323460 / PR;Fem;20/04/1987;ESTRADA CERRADO DA ROSEIRA,1;84200-000;CERRADO DA ROSEIRA;Gouveia;MG;NAIARA@live.com;13787056
ANGÉLICA BATISTA;076.593.299-79;101853454 / PR;Fem;01/11/1991;RUA RIACHUELO, 134;80020-250;CENTRO;Santa Cruz Cabrália;BA;ANGÉLICA@live.com;23553036
FELIPE COSTA;011.523.129-36;126242794 / PR;Fem;17/08/1992;ANEL VIARIO S.SAMBATI,540-A;87055-000;JD BERTIOGA;Ribeirãozinho;MT;FELIPE@gmail.com;27873579
DENISE KOCIUBA;014.394.499-10;56780076 / PR;Fem;25/11/1970;SITIO SANTO ANDRé - ESTR CONSELHEIRO ZACARIAS;86430-000;ESTR CONS ZACARIAS;Albertina;MG;DENISE@outlook.com;4210442
SUELEN LARISSA IZAIAS;088.174.359-37;102773586 / PR;Fem;03/08/1993;ANTONIO CAPELLO,401;86072-240;PQ INDL CACIQUE;Bom Lugar;MA;SUELEN@hotmail.com;39054257
ELCILENE DOS SANTOS LIMA RANGEL;417.892.372-20;1993263 / PA;Fem;07/08/1972;RUA MINAS GERAIS,29;86010-030;CENTRO;Florestal;MG;ELCILENE@gmail.com;65724993
BERNADETE KOLOSOWESKEY;480.420.489-04;40990895 / PR;Fem;25/01/1965;RUA XV DE NOVEMBRO, 7292;85010-100;CENTRO;Cujubim;RO;BERNADETE@gmail.com;83506628
DENISE DOS SANTOS ALVES;033.262.529-00;284345374 / SP;Fem;11/08/1982;RUA MARECHAL CANDIDO RONDON,870;87704-060;CENTRO;Paranavaí;PR;DENISE@gmail.com;37113436
CRISTINA APARECIDA DOS SANTOS;043.404.369-92;82401687 / PR;Fem;30/04/1976;ESTRADA DO LAGEADO;83870-000;LAGEADO;Campo do Tenente;PR;CRISTINA@live.com;66711540
JACKSON LUIZ DE MATTOS;003.662.399-70;71922316 / PR;Mas;13/04/1980;AV GENEROSO MARQUES,1121;85550-000;CENTRO;Engenheiro Navarro;MG;JACKSON@gmail.com;97805659
VANESSA TEIXEIRA ARRUDA;069.390.469-09;107708006 / PR;Fem;21/06/1991;JANDAIA DO SUL,1073;83324-440;VL EMILIANO PERNETA;Pastos Bons;MA;VANESSA@outlook.com;88117933
VALQUIRIA NEVES;023.947.869-06;59376004 / PR;Fem;25/05/1975;ROD PR 323 - KM 68 - LOTE 362-R;87200-000;ZONA INDUSTRIAL;Anchieta;SC;VALQUIRIA@live.com;76187533
EVELIZE MEIRA DOS SANTOS;087.758.039-17;124562082 / PR;Fem;16/04/1990;RUA MAL. FLORIANO PEIXOTO, 6274;80000-000;VILA HAUER;Aracitaba;MG;EVELIZE@live.com;60539106
JESSICA ALICE NADAL;080.151.229-88;111465752 / PR;Fem;07/05/1991;FAZENDA SÃO JUDAS TADEU;87750-000;ZONA RURAL;Capão do Leão;RS;JESSICA@gmail.com;24565697
ROSANA RIBEIRO;085.792.119-30;92481077 / PR;Fem;05/04/1986;RUA PROF CARDOSO FONTES, 1100;84050-550;RONDA;Taperoá;PB;ROSANA@gmail.com;33382512
PATRICIA DE JESUS DOS PASSOS;029.586.189-43;82159487 / PR;Fem;05/06/1978;RUA MATEUS LEME, 2.511;80530-010;CENTRO CIVICO;Altair;SP;PATRICIA32@hotmail.com;70963274
DOLORES DO ROCIO DE SOUZA;375.111.069-00;16602272 / PR;Fem;09/06/1958;RUA JOAO BETTEGA, 5200;81350-000;CIC;Curitiba;PR;DOLORES@hotmail.com;84589427
VIVIANE RIBEIRO DA ROSA;068.315.809-04;91869586 / PR;Fem;04/08/1989;RUA FORTALEZA,2757;85805-160;JARDIM CRISTAL;Goiânia;GO;VIVIANE@gmail.com;187777
DARLY DA ROSA LACERDA;850.747.309-10;52331064 / PR;Fem;17/09/1969;ROD BR 277 KM 1225 SN;83606-400;BOM JESUS;Pitangueiras;PR;DARLY@gmail.com;90854101
MARLI DO ROCIO FONSECA;523.490.399-00;45647951 / PR;Fem;08/11/1961;AV JK, 2700;86010-540;CENTRO;Toledo;PR;MARLI@outlook.com;38360521
MARCOS DE JESUS ALVES DE OLIVEIRA;003.734.539-73;64040499 / PR;Mas;28/11/1975;RUA JOAO FALARZ 555;81280-270;ORLEANS;Varginha;MG;MARCOS@gmail.com;10890869
MARILENE DOS PASSOS;047.530.609-00;84714569 / PR;Fem;07/08/1983;PRA A SANTANA,32;86380-000;CENTRO;Touros;RN;MARILENE@outlook.com;21431463
ADRIANA LEMES MACHADO;031.864.129-19;76253358 / PR;Fem;20/06/1976;RODOVIA PR 151 KM 130;84145-000;CENTRO;Primeira Cruz;MA;ADRIANA@hotmail.com;31798408
JAINE GONÇALVES SOARES;102.138.089-00;123536908 / PR;Fem;23/04/1993;RODOVIA MELLO PEIXOTO, 1683, KM 159;86185-700;Sem Informação;Valença;BA;JAINE@outlook.com;77410955
ROSELI RODRIGUES MACENI;891.947.219-04;2985377 / SC;Fem;06/10/1974;RUA DO ROSARIO,144;80020-110;CENTRO;Curitiba;PR;ROSELI@gmail.com;31876298
JOCELEIA RIBEIRO DA SILVA;048.367.559-80;9582274 / PR;Fem;07/06/1982;RUA SANTO INáCIO, 555;83324-080;EMILIANO PERNETA;Pinhais;PR;JOCELEIA@hotmail.com;33182710
FRANCIELE RIBEIRO;050.218.649-63;88859790 / PR;Fem;11/05/1984;AV. ALZIRO ZARUR, 387;87080-590;VILA VARDELINA;Maringá;PR;FRANCIELE@gmail.com;26519610
JANETE KINACH;049.440.459-05;90314564 / PR;Fem;04/04/1982;RUA MANOEL CORREA,1195;83203-410;ALTO SAO SEBASTIAO;Novo Acordo;TO;JANETE@hotmail.com;72434517
ANGELA MARIA DOS SANTOS;023.186.759-02;61694242 / PR;Fem;24/10/1972;AV. XV DE NOVEMBRO, 27;SI;Sem Informação;Moiporá;GO;ANGELA@outlook.com;38146084
DOLORES DO ROCIO DE SOUZA;375.111.069-00;16602272 / PR;Fem;09/06/1958;RUA JOAO BETTEGA, 5200;81350-000;CIC;Curitiba;PR;DOLORES@hotmail.com;84589427
DENISE TATIANE MARTINS SIKORSKI;072.453.849-67;101897370 / PR;Fem;31/01/1988;RUA ADAO IWANKIW,45;86800-767;PQUE INDL ZONA OEST;Getulina;SP;DENISE@outlook.com;40269050
MICHELE BOBATO GIOVANETTI;069.368.549-23;100731657 / PR;Fem;18/08/1989;TRAV QUINTA DO SOL,102;83025-080;BOM JESUS;Santa Inês;PR;MICHELE@gmail.com;84158972
LUCIANE DIAS FERREIRA;042.559.619-21;91347032 / PR;Fem;28/01/1985;LUIZ LERCO, 209;86010-000;TERRA BONITA;Londrina;PR;LUCIANE@live.com;49502953
PATRICIA RODRIGUES SANTOS;028.951.369-39;61446044 / PR;Fem;20/10/1975;RUA FILIPINAS,640;82960-180;CAJURU;Taquaritinga do Norte;PE;PATRICIA12@gmail.com;14513603
LUZINEIDE ROSA DA SILVA;015.845.829-01;69750338 / PR;Fem;14/02/1971;AV. DR. FCO. LACERDA JR,1551;86300-000;CENTRO;Cariacica;ES;LUZINEIDE@live.com;26777770
DRIELE ANDRESSA DE LARA;063.771.649-39;99088583 / PR;Fem;29/11/1988;RUA BRIGADEIRO FRANCO 641;80430-210;MERCES;Pancas;ES;DRIELE@live.com;42478668
SOLANGE STRACHORSKI;048.089.299-70;88005759 / PR;Fem;20/12/1982;ROD BR 116 - KM 79;SI;PALMITAL;Olímpia;SP;SOLANGE@live.com;59788427
LUCIRENE APARECIDA DE ANDRADE;675.428.599-00;63572993 / PR;Fem;15/04/1972;RUA DOMICILIANO T BRESOLIN,775;85816-080;SAO CARLOS;Manacapuru;AM;LUCIRENE@hotmail.com;85684525
HELENA MARGARETE SCHIAVON DOS SANTOS;361.821.090-68;1030733396 / RS;Fem;05/03/1966;AV TAMANDARE 903;87013-210;Sem Informação;Maringá;PR;HELENA@gmail.com;10623160
ELCILENE DOS SANTOS LIMA RANGEL;417.892.372-20;1993263 / PA;Fem;07/08/1972;RUA MINAS GERAIS,29;86010-030;CENTRO;Florestal;MG;ELCILENE@gmail.com;65724993
CRISLAINE FERREIRA DE OLIVEIRA;057.160.389-05;99353147 / PR;Fem;09/06/1987;RUA EMILIO BERTOLINI,100;82920-030;VILA OFICINAS;São José dos Cordeiros;PB;CRISLAINE@hotmail.com;86280250
HELENA MARGARETE SCHIAVON DOS SANTOS;361.821.090-68;1030733396 / RS;Fem;05/03/1966;AV TAMANDARE 903;87013-210;Sem Informação;Maringá;PR;HELENA@gmail.com;10623160
ROSALDO HILGENBERG;655.243.819-20;51432126 / PR;Mas;02/12/1966;RUA CORONEL VIVIDA,122;84036-310;VILA CIPA;São Caetano do Sul;SP;ROSALDO@live.com;99037403
MARIA VIVIANA DA SILVA;785.848.509-10;49747098 / PR;Fem;27/01/1970;RUA CENTENARIO,1639;83601-000;CENTRO;Praia Norte;TO;MARIA@hotmail.com;5474077
GIGLIAN DO ROCIO SZCYMEZSZYN;044.698.029-30;76700630 / PR;Fem;13/08/1977;PRACA CARLOS GOMES,329;80020-310;CENTRO;Osvaldo Cruz;SP;GIGLIAN@hotmail.com;50336075
ARIANE CRISTINA PUCHTA;067.580.499-06;105638248 / PR;Fem;09/06/1989;RUA JOSE RISSETO, 231;80000-000;SANTA FELICIDADE;Itabirito;MG;ARIANE@live.com;89051412
DARLY DA ROSA LACERDA;850.747.309-10;52331064 / PR;Fem;17/09/1969;ROD BR 277 KM 1225 SN;83606-400;BOM JESUS;Pitangueiras;PR;DARLY@gmail.com;90854101
PRISCILA APARECIDA SCHULTZ CORREA;063.297.699-31;102172035 / PR;Fem;18/11/1987;RODOVIA BR 376 KM 158 LOTE 170 A-B;87160-000;PRQ IND PREF HILTON;Paulista;PE;PRISCILA@hotmail.com;76147855
MAURO ANTONIO GOMES CORDEIRO;411.244.729-91;34433895 / PR;Mas;13/06/1961;RUA MARECHAL DEODORO,2874;84600-000;RIO DAREIA;União da Vitória;PR;MAURO@live.com;90170554
LUIS THIAGO MUSSILINI;042.562.839-60;78498439 / PR;Mas;15/06/1984;TEOFILO FREITAS MARISTANY,78;83750-000;DOM PEDRO II;Munhoz;MG;LUIS@live.com;35089127
LUZINEIDE ROSA DA SILVA;015.845.829-01;69750338 / PR;Fem;14/02/1971;AV. DR. FCO. LACERDA JR,1551;86300-000;CENTRO;Cariacica;ES;LUZINEIDE@live.com;26777770
MICHELE CRISTIANE TEIXEIRA;029.345.659-39;82387560 / PR;Fem;22/03/1979;RUA CONDOR,321;86030-300;INDUSTRIAS LEVES;Ibiporã;PR;MICHELE@live.com;31002395
ADRIANA BRECKMAN;926.163.809-00;51398882 / PR;Fem;20/04/1971;AV. GUATUPE, 4321 (B);83065-470;AFONSO PENA;Anta Gorda;RS;ADRIANA@hotmail.com;48367789
ARIANA DOS SANTOS FERNANDES;063.183.969-00;101042030 / PR;Fem;11/10/1984;JATOBA,750;83820-096;EUCALIPTOS;Fazenda Rio Grande;PR;ARIANA@hotmail.com;56449865
